,index,Driver,Vehicle,Tire,Glider,GroundSpeed,WaterSpeed,AirSpeed,AntiGravitySpeed,Acceleration,Weight,GroundHandling,WaterHandling,AirHandling,AntiGravityHandling,Traction,MiniTurbo,Total,Balance,AverageSpeed,WeightedSpeed,AverageHandling,WeightedHandling,GroundMastery,WaterMastery,AirMastery,AntiGravityMastery,DriftMastery,CollisionMastery
0,14596,Baby Daisy,Buggybud,Roller,Peach Parasol,0.75,1.75,2.0,1.5,5.5,1.0,5.75,5.5,5.75,5.5,4.0,5.75,44.75,2.869436871992702,1.5,1.3,5.625,5.625,3.25,3.625,3.875,3.5,5.125,3.375
1,26354,Baby Rosalina,Buggybud,Roller,Peach Parasol,0.75,1.75,2.0,1.5,5.75,1.0,5.5,5.25,5.5,5.25,3.5,5.75,43.5,2.9288233471592218,1.5,1.3,5.375,5.375,3.125,3.5,3.75,3.375,4.875,3.25
2,14601,Baby Daisy,Buggybud,Roller,Cloud Glider,0.75,2.0,2.0,1.5,5.5,0.75,5.75,5.25,5.75,5.75,4.25,5.75,45.0,2.8520622998707883,1.5625,1.35,5.625,5.65,3.25,3.625,3.875,3.625,5.208333333333333,3.25
3,26195,Baby Rosalina,Buggybud,Roller,Cloud Glider,0.75,2.0,2.0,1.5,5.75,0.75,5.5,5.0,5.5,5.5,3.75,5.75,43.75,2.9152656226170133,1.5625,1.35,5.375,5.4,3.125,3.5,3.75,3.5,4.958333333333333,3.125
4,20430,Baby Daisy,Buggybud,Cushion,Peach Parasol,1.0,1.25,2.25,1.75,5.0,1.25,5.25,4.75,5.5,5.0,4.5,5.25,42.75,3.1379233244963984,1.5625,1.4,5.125,5.1,3.125,3.0,3.875,3.375,4.958333333333333,3.25
5,14526,Baby Daisy,Buggybud,Sponge,Peach Parasol,1.0,1.25,2.25,1.75,5.0,1.25,5.25,4.75,5.5,5.25,4.5,5.25,43.0,3.1190750180087488,1.5625,1.4,5.1875,5.175,3.125,3.0,3.875,3.5,4.979166666666667,3.25
6,32190,Baby Rosalina,Buggybud,Cushion,Peach Parasol,1.0,1.25,2.25,1.75,5.25,1.25,5.0,4.5,5.25,4.75,4.0,5.25,41.5,3.2104046504442643,1.5625,1.4,4.875,4.85,3.0,2.875,3.75,3.25,4.708333333333333,3.125
7,26284,Baby Rosalina,Buggybud,Sponge,Peach Parasol,1.0,1.25,2.25,1.75,5.25,1.25,5.0,4.5,5.25,5.0,4.0,5.25,41.75,3.1926339690873435,1.5625,1.4,4.9375,4.925,3.0,2.875,3.75,3.375,4.729166666666667,3.125
8,20380,Baby Daisy,Buggybud,Button,Peach Parasol,1.0,1.5,1.75,2.0,5.25,1.0,5.5,5.25,5.25,5.5,3.75,5.5,43.25,3.0244151230431515,1.5625,1.475,5.375,5.425,3.25,3.375,3.5,3.75,4.875,3.25
9,26256,Baby Rosalina,Buggybud,Button,Peach Parasol,1.0,1.5,1.75,2.0,5.5,1.0,5.25,5.0,5.0,5.25,3.25,5.5,42.0,3.0811935527995065,1.5625,1.475,5.125,5.175,3.125,3.25,3.375,3.625,4.625,3.125
10,14547,Baby Daisy,Buggybud,Cushion,Cloud Glider,1.0,1.5,2.25,1.75,5.0,1.0,5.25,4.5,5.5,5.25,4.75,5.25,43.0,3.116056682317001,1.625,1.45,5.125,5.125,3.125,3.0,3.875,3.5,5.041666666666667,3.125
11,20403,Baby Daisy,Buggybud,Sponge,Cloud Glider,1.0,1.5,2.25,1.75,5.0,1.0,5.25,4.5,5.5,5.5,4.75,5.25,43.25,3.0946894391377207,1.625,1.45,5.1875,5.2,3.125,3.0,3.875,3.625,5.0625,3.125
12,26311,Baby Rosalina,Buggybud,Cushion,Cloud Glider,1.0,1.5,2.25,1.75,5.25,1.0,5.0,4.25,5.25,5.0,4.25,5.25,41.75,3.1926339690873435,1.625,1.45,4.875,4.875,3.0,2.875,3.75,3.375,4.791666666666667,3.0
13,26279,Baby Rosalina,Buggybud,Sponge,Cloud Glider,1.0,1.5,2.25,1.75,5.25,1.0,5.0,4.25,5.25,5.25,4.25,5.25,42.0,3.1721846124651725,1.625,1.45,4.9375,4.95,3.0,2.875,3.75,3.5,4.8125,3.0
14,14691,Baby Daisy,Buggybud,Button,Cloud Glider,1.0,1.75,1.75,2.0,5.25,0.75,5.5,5.0,5.25,5.75,4.0,5.5,43.5,3.0071149282783742,1.625,1.525,5.375,5.45,3.25,3.375,3.5,3.875,4.958333333333333,3.125
15,26251,Baby Rosalina,Buggybud,Button,Cloud Glider,1.0,1.75,1.75,2.0,5.5,0.75,5.25,4.75,5.0,5.5,3.5,5.5,42.25,3.0680369929509363,1.625,1.525,5.125,5.2,3.125,3.25,3.375,3.75,4.708333333333333,3.0
16,14445,Baby Daisy,Buggybud,Roller,Wario Wing,1.0,1.75,2.25,1.5,5.25,1.25,5.75,5.5,5.5,5.5,4.0,5.5,44.75,3.007233725636038,1.625,1.425,5.5625,5.6,3.375,3.625,3.875,3.5,5.020833333333333,3.5
17,32237,Baby Rosalina,Buggybud,Roller,Wario Wing,1.0,1.75,2.25,1.5,5.5,1.25,5.5,5.25,5.25,5.25,3.5,5.5,43.5,3.0708574679171816,1.625,1.425,5.3125,5.35,3.25,3.5,3.75,3.375,4.770833333333333,3.375
